Latitude,Longitude,Sealevel,Earthquake,Date,Region
26.81666667,125.0166667,41,0,1/1/2017,"26.82, 125.02"
34.28333333,140.3166667,46,0,1/2/2017,"34.28, 140.32"
34.28333333,131.2166667,173,0,1/3/2017,"34.28, 131.22"
34.25,140.3833333,356,0,1/4/2017,"34.25, 140.38"
25.91666667,123.55,77,0,1/5/2017,"25.92, 123.55"
34.25,131.0166667,514,0,1/6/2017,"34.25, 131.02"
34.28333333,131.1166667,166,0,1/7/2017,"34.28, 131.12"
34.25,131.8833333,170,0,1/8/2017,"34.25, 131.88"
34.25,140.1833333,45,0,1/9/2017,"34.25, 140.18"
25.58333333,124.2166667,650,1,1/10/2017,"25.58, 124.22"
25.91666667,123.75,59,0,1/11/2017,"25.92, 123.75"
25.81666667,124.0166667,48,0,1/12/2017,"25.82, 124.02"
25.58333333,124.0833333,19,0,1/13/2017,"25.58, 124.08"
34.25,140.2166667,41,0,1/14/2017,"34.25, 140.22"
34.31666667,131.2166667,750,1,1/15/2017,"34.32, 131.22"
34.21666667,139.7166667,118,0,1/16/2017,"34.22, 139.72"
25.91666667,123.7166667,65,0,1/17/2017,"25.92, 123.72"
34.25,140.3833333,449,0,1/18/2017,"34.25, 140.38"
25.68333333,123.75,75,0,1/19/2017,"25.68, 123.75"
25.58333333,124.0166667,15,0,1/20/2017,"25.58, 124.02"
34.31666667,131.2166667,164,0,1/21/2017,"34.32, 131.22"
34.28333333,140.0833333,94,0,1/22/2017,"34.28, 140.08"
25.81666667,123.75,68,0,1/23/2017,"25.82, 123.75"
34.21666667,139.55,67,0,1/24/2017,"34.22, 139.55"
26.81666667,125.2166667,800,1,1/25/2017,"26.82, 125.22"
26.81666667,125.25,73,0,1/26/2017,"26.82, 125.25"
25.58333333,124.25,52,0,1/27/2017,"25.58, 124.25"
25.81666667,124.0166667,1000,1,1/28/2017,"25.82, 124.02"
26.81666667,125.1166667,72,0,1/29/2017,"26.82, 125.12"
25.68333333,123.9166667,450,0,1/30/2017,"25.68, 123.92"
25.68333333,123.9166667,100,0,1/31/2017,"25.68, 123.92"
25.58333333,124.15,28,0,2/1/2017,"25.58, 124.15"
34.28333333,140.1833333,53,0,2/2/2017,"34.28, 140.18"
34.25,130.75,74,0,2/3/2017,"34.25, 130.75"
34.25,131.7166667,87,0,2/4/2017,"34.25, 131.72"
34.25,131.6166667,94,0,2/5/2017,"34.25, 131.62"
25.81666667,123.65,71,0,2/6/2017,"25.82, 123.65"
34.28333333,140.25,46,0,2/7/2017,"34.28, 140.25"
34.25,140.3833333,880,1,2/8/2017,"34.25, 140.38"
34.21666667,139.7833333,155,0,2/9/2017,"34.22, 139.78"
26.81666667,125.15,79,0,2/10/2017,"26.82, 125.15"
34.28333333,139.9833333,137,0,2/11/2017,"34.28, 139.98"
25.91666667,123.6833333,70,0,2/12/2017,"25.92, 123.68"
34.25,131.8833333,247,0,2/13/2017,"34.25, 131.88"
34.21666667,139.6833333,99,0,2/14/2017,"34.22, 139.68"
25.81666667,124.0166667,450,0,2/15/2017,"25.82, 124.02"
34.28333333,139.6166667,64,0,2/16/2017,"34.28, 139.62"
34.21666667,139.8833333,174,0,2/17/2017,"34.22, 139.88"
34.28333333,139.9833333,647,1,2/18/2017,"34.28, 139.98"
34.25,131.5833333,94,0,2/19/2017,"34.25, 131.58"
34.28333333,131.35,950,1,2/20/2017,"34.28, 131.35"
25.58333333,123.95,17,0,2/21/2017,"25.58, 123.95"
34.28333333,140.35,780,1,2/22/2017,"34.28, 140.35"
34.25,131.0166667,106,0,2/23/2017,"34.25, 131.02"
34.28333333,131.2833333,169,0,2/24/2017,"34.28, 131.28"
25.81666667,123.7166667,70,0,2/25/2017,"25.82, 123.72"
25.91666667,123.8833333,32,0,2/26/2017,"25.92, 123.88"
34.28333333,140.1166667,77,0,2/27/2017,"34.28, 140.12"
34.28333333,139.9833333,337,0,2/28/2017,"34.28, 139.98"
34.28333333,139.9833333,104,0,3/1/2017,"34.28, 139.98"
26.81666667,125.1833333,82,0,3/2/2017,"26.82, 125.18"
34.28333333,139.6833333,68,0,3/3/2017,"34.28, 139.68"
34.25,131.0166667,82,0,3/4/2017,"34.25, 131.02"
34.28333333,131.25,170,0,3/5/2017,"34.28, 131.25"
25.81666667,123.7833333,64,0,3/6/2017,"25.82, 123.78"
26.81666667,125.0833333,62,0,3/7/2017,"26.82, 125.08"
25.68333333,123.7166667,72,0,3/8/2017,"25.68, 123.72"
25.68333333,123.65,63,0,3/9/2017,"25.68, 123.65"
34.21666667,139.8166667,165,0,3/10/2017,"34.22, 139.82"
25.68333333,123.7833333,74,0,3/11/2017,"25.68, 123.78"
34.25,131.8833333,500,0,3/12/2017,"34.25, 131.88"
34.31666667,131.2166667,178,0,3/13/2017,"34.32, 131.22"
34.28333333,131.05,147,0,3/14/2017,"34.28, 131.05"
26.81666667,125.05,52,0,3/15/2017,"26.82, 125.05"
34.31666667,131.2166667,117,0,3/16/2017,"34.32, 131.22"
34.28333333,140.15,62,0,3/17/2017,"34.28, 140.15"
25.58333333,124.1166667,23,0,3/18/2017,"25.58, 124.12"
34.25,131.6833333,91,0,3/19/2017,"34.25, 131.68"
34.25,131.0166667,96,0,3/20/2017,"34.25, 131.02"
34.28333333,139.75,89,0,3/21/2017,"34.28, 139.75"
34.25,131.65,94,0,3/22/2017,"34.25, 131.65"
25.58333333,124.1833333,36,0,3/23/2017,"25.58, 124.18"
25.81666667,123.85,54,0,3/24/2017,"25.82, 123.85"
34.25,140.05,107,0,3/25/2017,"34.25, 140.05"
34.21666667,139.6166667,74,0,3/26/2017,"34.22, 139.62"
25.91666667,123.8166667,45,0,3/27/2017,"25.92, 123.82"
34.25,130.7833333,77,0,3/28/2017,"34.25, 130.78"
34.31666667,130.95,99,0,3/29/2017,"34.32, 130.95"
34.28333333,139.9833333,970,1,3/30/2017,"34.28, 139.98"
34.25,140.15,54,0,3/31/2017,"34.25, 140.15"
34.28333333,139.9833333,478,0,4/1/2017,"34.28, 139.98"
34.28333333,139.9833333,121,0,4/2/2017,"34.28, 139.98"
34.31666667,131.2166667,1000,1,4/3/2017,"34.32, 131.22"
26.81666667,124.9166667,17,0,4/4/2017,"26.82, 124.92"
34.25,130.6833333,52,0,4/5/2017,"34.25, 130.68"
34.25,131.8833333,900,1,4/6/2017,"34.25, 131.88"
25.68333333,123.5833333,56,0,4/7/2017,"25.68, 123.58"
34.25,131.55,94,0,4/8/2017,"34.25, 131.55"
34.25,131.0166667,80,0,4/9/2017,"34.25, 131.02"
34.31666667,130.8833333,75,0,4/10/2017,"34.32, 130.88"
34.28333333,131.1833333,174,0,4/11/2017,"34.28, 131.18"
34.21666667,139.75,139,0,4/12/2017,"34.22, 139.75"
34.31666667,131.25,206,0,4/13/2017,"34.32, 131.25"
34.31666667,130.85,69,0,4/14/2017,"34.32, 130.85"
25.58333333,124.05,16,0,4/15/2017,"25.58, 124.05"
25.68333333,123.9166667,850,1,4/16/2017,"25.68, 123.92"
34.31666667,131.2166667,423,0,4/17/2017,"34.32, 131.22"
34.28333333,140.05,112,0,4/18/2017,"34.28, 140.05"
26.81666667,124.9833333,33,0,4/19/2017,"26.82, 124.98"
34.28333333,131.15,172,0,4/20/2017,"34.28, 131.15"
34.25,130.7166667,66,0,4/21/2017,"34.25, 130.72"
34.25,131.8833333,80,0,4/22/2017,"34.25, 131.88"
34.28333333,131.3833333,149,0,4/23/2017,"34.28, 131.38"
34.28333333,139.65,64,0,4/24/2017,"34.28, 139.65"
34.21666667,139.85,760,1,4/25/2017,"34.22, 139.85"
25.91666667,123.7833333,52,0,4/26/2017,"25.92, 123.78"
34.31666667,130.9166667,84,0,4/27/2017,"34.32, 130.92"
34.21666667,139.5833333,69,0,4/28/2017,"34.22, 139.58"
25.81666667,123.6833333,71,0,4/29/2017,"25.82, 123.68"
25.81666667,124.0166667,750,1,4/30/2017,"25.82, 124.02"
34.25,131.0166667,780,1,5/1/2017,"34.25, 131.02"
34.31666667,131.2166667,135,0,5/2/2017,"34.32, 131.22"
34.25,140.2833333,40,0,5/3/2017,"34.25, 140.28"
34.28333333,131.3166667,166,0,5/4/2017,"34.28, 131.32"
25.68333333,123.9166667,67,0,5/5/2017,"25.68, 123.92"
25.58333333,123.9166667,21,0,5/6/2017,"25.58, 123.92"
34.25,131.0166667,87,0,5/7/2017,"34.25, 131.02"
25.91666667,123.5833333,76,0,5/8/2017,"25.92, 123.58"
34.28333333,131.0833333,157,0,5/9/2017,"34.28, 131.08"
25.91666667,123.6166667,74,0,5/10/2017,"25.92, 123.62"
34.28333333,140.3833333,42,0,5/11/2017,"34.28, 140.38"
34.25,140.0833333,86,0,5/12/2017,"34.25, 140.08"
34.25,140.1166667,68,0,5/13/2017,"34.25, 140.12"
25.81666667,123.8166667,60,0,5/14/2017,"25.82, 123.82"
25.68333333,123.6833333,68,0,5/15/2017,"25.68, 123.68"
25.81666667,124.0166667,250,0,5/16/2017,"25.82, 124.02"
34.25,140.25,39,0,5/17/2017,"34.25, 140.25"
34.28333333,140.2833333,46,0,5/18/2017,"34.28, 140.28"
25.58333333,123.9833333,16,0,5/19/2017,"25.58, 123.98"
25.91666667,123.85,780,1,5/20/2017,"25.92, 123.85"
26.81666667,124.95,26,0,5/21/2017,"26.82, 124.95"
34.28333333,140.2166667,48,0,5/22/2017,"34.28, 140.22"
34.21666667,139.65,84,0,5/23/2017,"34.22, 139.65"
25.68333333,123.6166667,59,0,5/24/2017,"25.68, 123.62"
34.28333333,139.7166667,76,0,5/25/2017,"34.28, 139.72"
25.91666667,123.65,73,0,5/26/2017,"25.92, 123.65"
34.31666667,131.2166667,150,0,5/27/2017,"34.32, 131.22"
